"","Opponent","Section","Day_and_Time","Face","Wtp","lower_bound","upper_bound","Net"
"1","Alcorn State","101","Saturday Noon",30,14.3994052919449,6.83101635985431,30.3531512499719,-15.6005947080551
"2","Alcorn State","102","Saturday Noon",35,18.6891573238975,8.8657078405313,39.3972605188466,-16.3108426761025
"3","Alcorn State","103","Saturday Noon",45,22.4479127056963,10.6479324742623,47.3245661597297,-22.5520872943037
"4","Alcorn State","104","Saturday Noon",45,27.1353136358867,12.8717792969268,57.2046202108002,-17.8646863641133
"5","Alcorn State","105","Saturday Noon",45,36.7969690492409,17.4535388197421,77.5783607665417,-8.20303095075907
"6","Alcorn State","106","Saturday Noon",45,41.0294689372705,19.4510877125541,86.5461791212808,-3.97053106272946
"7","Alcorn State","107","Saturday Noon",45,38.1726213733242,18.1063124532185,80.4774040145403,-6.82737862667578
"8","Alcorn State","108","Saturday Noon",45,30.7617674017433,14.5922854809556,64.8483977999163,-14.2382325982567
"9","Alcorn State","109","Saturday Noon",45,24.077971270633,11.4194479928576,50.7685398516667,-20.922028729367
"10","Alcorn State","110","Saturday Noon",35,17.7371825922152,8.39785338534041,37.4628648386232,-17.2628174077848
"11","Alcorn State","111","Saturday Noon",30,16.9368902582024,8.03531834985088,35.6996747519924,-13.0631097417976
"12","Alcorn State","121","Saturday Noon",30,17.630357871036,8.3624962025046,37.1694660462395,-12.369642128964
"13","Alcorn State","122","Saturday Noon",35,19.013811812841,9.01736008943544,40.0921152164797,-15.986188187159
"14","Alcorn State","123","Saturday Noon",35,23.2150454018795,11.0121037500069,48.940542628922,-11.7849545981205
"15","Alcorn State","124","Saturday Noon",45,29.1569247092366,13.8242248708199,61.4954014741566,-15.8430752907634
"16","Alcorn State","127","Saturday Noon",45,32.409383559751,15.3732330062988,68.3244794567736,-12.590616440249
"17","Alcorn State","128","Saturday Noon",35,23.4035611375008,11.1040521375289,49.3267383053399,-11.5964388624992
"18","Alcorn State","129","Saturday Noon",35,19.670166134434,9.33256473142775,41.4586393870144,-15.329833865566
"19","Alcorn State","130","Saturday Noon",30,16.3422255584225,7.71099395854135,34.6347484692983,-13.6577744415775
"20","Alcorn State","131","Saturday Noon",30,13.7882051499438,6.52266673358686,29.1467599100211,-16.2117948500562
"21","Alcorn State","132","Saturday Noon",30,14.61610518001,6.93339998366319,30.811799569689,-15.38389481999
"22","Alcorn State","201","Saturday Noon",15,12.3987067648312,5.87995949302324,26.1443857942684,-2.60129323516883
"23","Alcorn State","202","Saturday Noon",15,14.0997572422293,6.68800668756686,29.7253222936179,-0.900242757770723
"24","Alcorn State","207","Saturday Noon",15,15.1106867355062,7.1662050145009,31.8624506494816,0.110686735506174
"25","Alcorn State","208","Saturday Noon",15,12.8887256092978,6.10986544230332,27.1886916987723,-2.11127439070223
"26","Alcorn State","221","Saturday Noon",15,12.6431564705616,5.99477914987673,26.6647697175616,-2.35684352943845
"27","Alcorn State","222","Saturday Noon",15,15.1940259794244,7.20713454488327,32.0319294756778,0.194025979424357
"28","Alcorn State","223","Saturday Noon",35,17.3395633961831,8.2223053567542,36.5664428314226,-17.6604366038169
"29","Alcorn State","225","Saturday Noon",45,20.8988431785379,9.90970901785442,44.0741141252686,-24.1011568214621
"30","Alcorn State","227","Saturday Noon",35,17.1153357132597,8.11812779690452,36.084023792934,-17.8846642867403
"31","Alcorn State","228","Saturday Noon",15,13.6915500332075,6.49570308648725,28.8588532782213,-1.30844996679247
"32","Alcorn State","229","Saturday Noon",15,13.1305947228509,6.21905806035829,27.7232526376874,-1.86940527714915
"33","Alcorn State","203L","Saturday Noon",35,16.9591514950509,8.02929287777701,35.8204419505139,-18.0408485049491
"34","Alcorn State","203U","Saturday Noon",35,16.5872879864921,7.86083472532102,35.0011331316458,-18.4127120135079
"35","Alcorn State","204L","Saturday Noon",45,20.3144035649855,9.60518506407865,42.9637731546073,-24.6855964350145
"36","Alcorn State","204U","Saturday Noon",45,15.2569370155181,7.23480566975733,32.1742058765338,-29.7430629844819
"37","Alcorn State","205L","Saturday Noon",45,18.8836273151487,8.92265183043565,39.9647310411775,-26.1163726848513
"38","Alcorn State","205U","Saturday Noon",45,14.0418308252846,6.65729049949924,29.6176068838733,-30.9581691747154
"39","Alcorn State","206L","Saturday Noon",35,18.3589407479496,8.69377651066066,38.7691936839437,-16.6410592520504
"40","Alcorn State","206U","Saturday Noon",35,14.8887497157988,7.05780400100492,31.4084760738802,-20.1112502842012
"41","Alcorn State","210L","Saturday Noon",30,13.2917283000109,6.19784108849931,28.5050937380661,-16.7082716999891
"42","Alcorn State","210U","Saturday Noon",15,11.3210139586674,5.37023930909547,23.8658558167549,-3.67898604133262
"43","Alcorn State","211L","Saturday Noon",30,15.2586686049853,7.21115575628871,32.2870529309703,-14.7413313950147
"44","Alcorn State","211U","Saturday Noon",15,11.8491814446405,5.6186482016216,24.988768805189,-3.15081855535948
"45","Alcorn State","212","Saturday Noon",15,11.6906086733724,5.54521467775708,24.6465356340738,-3.30939132662765
"46","Alcorn State","213L","Saturday Noon",30,15.0148112534412,7.10839212305495,31.7152674013679,-14.9851887465588
"47","Alcorn State","213U","Saturday Noon",15,11.1073151541861,5.26861492093546,23.4164864553257,-3.8926848458139
"48","Alcorn State","214L","Saturday Noon",30,17.4546110966499,8.18792883704075,37.2088539847893,-12.5453889033501
"49","Alcorn State","214U","Saturday Noon",15,12.0926035858586,5.7355247255042,25.4956727558813,-2.90739641414138
"50","Alcorn State","215L","Saturday Noon",30,18.0304732445834,8.53502440938202,38.0898694403591,-11.9695267554166
"51","Alcorn State","215U","Saturday Noon",15,12.8491032443078,6.09362097204606,27.0938174429065,-2.15089675569215
"52","Alcorn State","216L","Saturday Noon",30,15.0296355038679,7.06132360594477,31.9897452637568,-14.9703644961321
"53","Alcorn State","216U","Saturday Noon",15,11.4393244610319,5.42559508415148,24.1186712416131,-3.56067553896814
"54","Alcorn State","217L","Saturday Noon",30,12.6233537656666,5.94791316399855,26.7907509574406,-17.3766462343334
"55","Alcorn State","217U","Saturday Noon",15,11.6947017521914,5.54770698267,24.652716789106,-3.30529824780857
"56","Alcorn State","218","Saturday Noon",30,13.7170209621524,6.50465124173567,28.9264800038567,-16.2829790378476
"57","Alcorn State","219L","Saturday Noon",30,11.6537911428626,5.52015314155146,24.6027319385731,-18.3462088571374
"58","Alcorn State","219U","Saturday Noon",15,10.6460803518296,5.04755543225517,22.4542411428206,-4.35391964817042
"59","Alcorn State","224L","Saturday Noon",45,23.6864066114378,11.2339072931301,49.9421833848909,-21.3135933885622
"60","Alcorn State","224U","Saturday Noon",45,15.1315272287396,7.17560450682253,31.9085473643917,-29.8684727712604
"61","Alcorn State","226L","Saturday Noon",45,19.5664514964459,9.2765633656115,41.2702429848095,-25.4335485035541
"62","Alcorn State","226U","Saturday Noon",45,15.6797966186249,7.43571989924957,33.0641854901304,-29.3202033813751
"63","Alcorn State","CL1","Saturday Noon",45,48.5793134043535,23.0243192810491,102.498130868991,3.57931340435353
"64","Alcorn State","CL2","Saturday Noon",45,54.6086768664451,25.8988910709723,115.14421914559,9.60867686644506
"65","Alcorn State","CL3","Saturday Noon",45,54.3483278205737,25.766462183113,114.635090991591,9.34832782057369
"66","Alcorn State","CL4","Saturday Noon",45,44.6184726519629,21.1490006625453,94.132490397982,-0.381527348037125
"67","Alcorn State","101","Saturday Afternoon",30,16.0677660345835,7.62194830264433,33.8723243835892,-13.9322339654165
"68","Alcorn State","102","Saturday Afternoon",35,20.8545423352932,9.89216159609824,43.9653084707064,-14.1454576647068
"69","Alcorn State","103","Saturday Afternoon",45,25.0487990307248,11.8807948656266,52.8114776812574,-19.9512009692752
"70","Alcorn State","104","Saturday Afternoon",45,30.2792970915525,14.362139045757,63.8369973607349,-14.7207029084475
"71","Alcorn State","105","Saturday Afternoon",45,41.0603825281424,19.4743452125805,86.5731296715562,-3.93961747185757
"72","Alcorn State","106","Saturday Afternoon",45,45.7832732700472,21.7030743980943,96.5811604785298,0.783273270047161
"73","Alcorn State","107","Saturday Afternoon",45,42.5954222912545,20.2026551622963,89.8084922795897,-2.40457770874552
"74","Alcorn State","108","Saturday Afternoon",45,34.3259232864283,16.2817880817642,72.3672979619136,-10.6740767135717
"75","Alcorn State","109","Saturday Afternoon",45,26.8677213482127,12.7415986620998,56.6549355060474,-18.1322786517873
"76","Alcorn State","110","Saturday Afternoon",35,19.7922687934779,9.3700624307386,41.8069684048414,-15.2077312065221
"77","Alcorn State","111","Saturday Afternoon",30,18.8992520527531,8.96564641122475,39.8389264723079,-11.1007479472469
"78","Alcorn State","121","Saturday Afternoon",30,19.673067021473,9.33071071427051,41.4791089214074,-10.326932978527
"79","Alcorn State","122","Saturday Afternoon",35,21.2168123224668,10.0613731363143,44.7407246533827,-13.7831876775332
"80","Alcorn State","123","Saturday Afternoon",35,25.9048141528665,12.2871070815264,54.614922116491,-9.09518584713355
"81","Alcorn State","124","Saturday Afternoon",45,32.5351384322834,15.4248894840771,68.6251421055923,-12.4648615677166
"82","Alcorn State","127","Saturday Afternoon",45,36.1644374753773,17.153167741137,76.2463562210686,-8.83556252462272
"83","Alcorn State","128","Saturday Afternoon",35,26.1151719192039,12.3896925818278,55.0459343414124,-8.88482808079612
"84","Alcorn State","129","Saturday Afternoon",35,21.9492139363753,10.4131596279564,46.2653036770283,-13.0507860636247
"85","Alcorn State","130","Saturday Afternoon",30,18.2356876157945,8.60373648843637,38.6506843006851,-11.7643123842055
"86","Alcorn State","131","Saturday Afternoon",30,15.3857503066513,7.27792082394924,32.5259532529742,-14.6142496933487
"87","Alcorn State","132","Saturday Afternoon",30,16.3095734586095,7.73621679568409,34.384013973106,-13.6904265413905
"88","Alcorn State","201","Saturday Afternoon",15,13.8352602339876,6.56070396591713,29.175897394023,-1.16473976601242
"89","Alcorn State","202","Saturday Afternoon",15,15.7333998119561,7.46240764956204,33.1715823186619,0.733399811956069
