Opponent,id,Day,Time,prediction,lower_bound,upper_bound
Alcorn State,105,Saturday,Afternoon,43.63109685,23.21088376,82.01637782
Alcorn State,219,Saturday,Afternoon,7.490721209,3.977852246,14.10582916
Alcorn State,227,Saturday,Afternoon,19.67113575,10.39505923,37.2247597
Alcorn State,221,Saturday,Afternoon,13.47917132,7.149140933,25.41397087
Alcorn State,102,Saturday,Afternoon,23.66913386,12.59552795,44.47831801
Alcorn State,222,Saturday,Afternoon,15.0515714,7.996232201,28.33206891
Alcorn State,104,Saturday,Afternoon,38.26949761,20.33657177,72.01579812
Alcorn State,CL1,Saturday,Afternoon,57.46848692,30.4287849,108.5362758
Alcorn State,214,Saturday,Afternoon,11.50337518,6.11990482,21.62249978
Alcorn State,107,Saturday,Afternoon,49.55144334,26.35770419,93.15475731
Alcorn State,223,Saturday,Afternoon,23.85509599,12.59196275,45.19276433
Alcorn State,201,Saturday,Afternoon,12.77888778,6.746238236,24.2060786
Alcorn State,CL4,Saturday,Afternoon,48.1712667,25.51344351,90.95091123
Alcorn State,207,Saturday,Afternoon,17.81840027,9.442921321,33.62258114
Alcorn State,206U,Saturday,Afternoon,16.22155543,8.397559102,31.33516029
Alcorn State,225,Saturday,Afternoon,24.46007018,12.90350747,46.36685295
Alcorn State,106,Saturday,Afternoon,53.35304534,28.24648945,100.7752645
Alcorn State,224L,Saturday,Afternoon,24.63128148,13.08958141,46.34984176
Alcorn State,218,Saturday,Afternoon,16.32769403,8.646656486,30.83198606
Alcorn State,204U,Saturday,Afternoon,14.37184684,7.621962513,27.09931745
Alcorn State,208,Saturday,Afternoon,11.96851355,6.294826139,22.75604019
Alcorn State,224U,Saturday,Afternoon,11.95433811,6.337753127,22.54840112
Alcorn State,206L,Saturday,Afternoon,21.38476532,11.15956178,40.97904531
Alcorn State,130,Saturday,Afternoon,29.37985623,13.63504059,63.30571198
Alcorn State,229,Saturday,Afternoon,27.6467056,14.48847383,52.75506171
Alcorn State,203L,Saturday,Afternoon,19.03638573,9.958887292,36.38799907
Alcorn State,203U,Saturday,Afternoon,15.48415305,7.985568303,30.02403669
Alcorn State,204L,Saturday,Afternoon,26.75404978,13.66826716,52.36795352
Alcorn State,226U,Saturday,Afternoon,13.34686238,7.052636882,25.2584584
Alcorn State,110,Saturday,Afternoon,17.69781352,9.155832486,34.20907971
Alcorn State,131,Saturday,Afternoon,14.28832941,7.581223439,26.92920989
Alcorn State,205U,Saturday,Afternoon,14.61436316,7.72483238,27.64844594
Alcorn State,205L,Saturday,Afternoon,23.26114492,11.9950901,45.10852845
Alcorn State,TT3,Saturday,Afternoon,45.98919356,21.33793827,99.11950712
Alcorn State,TT1,Saturday,Afternoon,137.2252194,56.54239818,333.0378872
Alcorn State,128,Saturday,Night,26.82189202,14.2908676,50.34081288
Alcorn State,123,Saturday,Night,25.61428727,13.63039765,48.13445133
Alcorn State,111,Saturday,Night,18.72686693,9.978402707,35.14545919
Alcorn State,228,Saturday,Night,12.62394908,6.724242742,23.6999312
Alcorn State,109,Saturday,Night,32.05000993,17.02996232,60.3174051
Alcorn State,217,Saturday,Night,11.29702662,6.01512654,21.21697849
Alcorn State,CL2,Saturday,Night,72.9117683,38.74636407,137.2032211
Alcorn State,108,Saturday,Night,41.91658718,22.30348025,78.77695592
Alcorn State,129,Saturday,Night,22.10067821,11.77567324,41.47873053
Alcorn State,211,Saturday,Night,10.55405523,5.606472965,19.867764
Alcorn State,127,Saturday,Night,38.27728952,20.37650424,71.9039378
Alcorn State,122,Saturday,Night,21.22028169,11.27309157,39.94470836
Alcorn State,210,Saturday,Night,10.40431126,5.542496177,19.53085566
Alcorn State,216,Saturday,Night,10.56399693,5.616336412,19.87025403
Alcorn State,215,Saturday,Night,12.54790499,6.675510333,23.58619967
Alcorn State,121,Saturday,Night,18.76654478,9.984585889,35.27269001
Alcorn State,213,Saturday,Night,10.71733854,5.705753976,20.13079179
Alcorn State,212,Saturday,Night,11.01812775,5.862417615,20.70803329
Alcorn State,101,Saturday,Night,14.46742119,7.703290528,27.17102195
Alcorn State,103,Saturday,Night,26.82096399,14.26750905,50.41974088
Alcorn State,226L,Saturday,Night,22.09969284,11.70439402,41.72761296
Alcorn State,CL3,Saturday,Night,70.85176748,37.55322081,133.6762293
Alcorn State,132,Saturday,Night,20.35441693,10.82461525,38.2740891
Alcorn State,124,Saturday,Night,38.69967937,20.45791406,73.20713046
Alcorn State,202,Saturday,Night,15.06697801,7.991396356,28.40727904
Alcorn State,105,Saturday,Night,46.05313754,24.5020753,86.55966694
Alcorn State,219,Saturday,Night,7.906544621,4.199133734,14.8872248
Alcorn State,227,Saturday,Night,20.76311589,10.97331025,39.2868671
Alcorn State,221,Saturday,Night,14.22742437,7.546834465,26.82178935
Alcorn State,102,Saturday,Night,24.98305007,13.29620168,46.9421874
Alcorn State,222,Saturday,Night,15.88711121,8.441050274,29.90152819
Alcorn State,104,Saturday,Night,40.39390628,21.46786496,76.00512056
Alcorn State,CL1,Saturday,Night,60.65866604,32.12147268,114.5487258
Alcorn State,214,Saturday,Night,12.14194824,6.460347297,22.8202758
Alcorn State,107,Saturday,Night,52.30213312,27.82394879,98.31505762
Alcorn State,223,Saturday,Night,25.1793353,13.29241945,47.69627745
Alcorn State,201,Saturday,Night,13.48826684,7.121513311,25.54700586
Alcorn State,CL4,Saturday,Night,50.84534039,26.93270278,95.9892017
Alcorn State,207,Saturday,Night,18.80753173,9.968212221,35.48512432
Alcorn State,206U,Saturday,Night,17.12204316,8.864663843,33.07112001
Alcorn State,225,Saturday,Night,25.81789269,13.62129315,48.93541133
Alcorn State,106,Saturday,Night,56.31476888,29.81778025,106.3577895
Alcorn State,224L,Saturday,Night,25.99860823,13.8177354,48.91739567
Alcorn State,218,Saturday,Night,17.2340737,9.127651615,32.53994663
Alcorn State,204U,Saturday,Night,15.16965392,8.04595812,28.60049688
Alcorn State,208,Saturday,Night,12.63290727,6.644986139,24.01665599
Alcorn State,224U,Saturday,Night,12.61794493,6.690310167,23.79748178
Alcorn State,206L,Saturday,Night,22.57187212,11.78031522,43.24921714
Alcorn State,130,Saturday,Night,31.01078492,14.39325678,66.81384177
Alcorn State,229,Saturday,Night,29.18142398,15.2944096,55.67756634
Alcorn State,203L,Saturday,Night,20.09312975,10.51285727,38.40381858
Alcorn State,203U,Saturday,Night,16.34370625,8.42975141,31.68737973
Alcorn State,204L,Saturday,Night,28.23921522,14.42851895,55.26923996
Alcorn State,226U,Saturday,Night,14.08777072,7.444957277,26.65767936
Alcorn State,110,Saturday,Night,18.68025099,9.665114316,36.10425761
Alcorn State,131,Saturday,Night,15.08150028,8.003818262,28.41789297
Alcorn State,205U,Saturday,Night,15.42563275,8.154545756,29.18006139
Alcorn State,205L,Saturday,Night,24.55241293,12.66229554,47.60755886
Alcorn State,TT3,Saturday,Night,48.54213645,22.52449588,104.6122863
Alcorn State,TT1,Saturday,Night,144.8428382,59.68587381,351.4977069
Alcorn State,128,Thursday,Night,38.56645283,20.56160141,72.33732698
Alcorn State,123,Thursday,Night,36.83007153,19.6112969,69.1669794
Alcorn State,111,Thursday,Night,26.92684132,14.35685766,50.50233139
Alcorn State,228,Thursday,Night,18.15162541,9.67479118,34.05567095
Alcorn State,109,Thursday,Night,46.08381821,24.50252425,86.67344961
Alcorn State,217,Thursday,Night,16.24368049,8.654516592,30.48779827
Alcorn State,CL2,Thursday,Night,104.8378045,55.74785268,197.1549527
Alcorn State,108,Thursday,Night,60.27069533,32.09004932,113.1988511
Alcorn State,129,Thursday,Night,31.77795075,16.94275761,59.60293933
Alcorn State,211,Thursday,Night,15.17538258,8.066530063,28.54910783
Alcorn State,127,Thursday,Night,55.03785041,29.31754716,103.3225925
Alcorn State,122,Thursday,Night,30.51205307,16.2195978,57.39879583
Alcorn State,210,Thursday,Night,14.9600699,7.974503703,28.06490532
Alcorn State,216,Thursday,Night,15.18967749,8.080728138,28.55266237
Alcorn State,215,Thursday,Night,18.04228373,9.604663339,33.89228654
Alcorn State,121,Thursday,Night,26.98389299,14.36573214,50.68523302
Alcorn State,213,Thursday,Night,15.41016312,8.209392742,28.92700285
Alcorn State,212,Thursday,Night,15.84265957,8.434794054,29.75648967
Alcorn State,101,Thursday,Night,20.80230271,11.08343373,39.04347772
Alcorn State,103,Thursday,Night,38.56511844,20.52795991,72.45086052
Alcorn State,226L,Thursday,Night,31.77653391,16.84009921,59.9609358
Alcorn State,CL3,Thursday,Night,101.8757866,54.03102877,192.0873272
Alcorn State,132,Thursday,Night,29.2670502,15.57435183,54.99813006
Alcorn State,124,Thursday,Night,55.64519304,29.43447247,105.1959573
Alcorn State,202,Thursday,Night,21.66438878,11.49791299,40.82008113
Alcorn State,105,Thursday,Night,66.21852609,35.25336481,124.3822603
Alcorn State,219,Thursday,Night,11.36860069,6.041664887,21.39229569
Alcorn State,227,Thursday,Night,29.85470708,15.7881941,56.45379891
Alcorn State,221,Thursday,Night,20.45721795,10.85828441,38.54179449
Alcorn State,102,Thursday,Night,35.92243311,19.13046116,67.4537425
Alcorn State,222,Thursday,Night,22.84363552,12.14489021,42.96718
Alcorn State,104,Thursday,Night,58.0812748,30.8877365,109.2159823
Alcorn State,CL1,Thursday,Night,87.21940946,46.21586653,164.6020286
Alcorn State,214,Thursday,Night,17.4585698,9.295089903,32.79168493
Alcorn State,107,Thursday,Night,75.2037831,40.03284228,141.2742306
Alcorn State,223,Thursday,Night,36.20466618,19.12486398,68.53789154
Alcorn State,201,Thursday,Night,19.39440388,10.24629049,36.71015403
Alcorn State,CL4,Thursday,Night,73.10910134,38.75035777,137.93268
