Year,HomeAway,EventCode,Date,Opponent,Location,W - L,Day,Time,Prior Year Wins,Conference,Rival,GTPriorYearWins,OppTwitterFollowers,MilesToATL,UndergradPop,GameMonth,FalconsHome,NatlChamp1980,NatlChampBinary,Tgiving_or_labor,NatlTV,Tvstation,GeorgiaBinary
2013,,,"Saturday, October 12, 2013",at BYU,"Provo, Utah","L, 38-20",,,,,,7,,,,,,,,,,,No
2013,Home,2013F04,"Saturday, October 19, 2013",Syracuse,"Atlanta, Ga.","W, 56-0",Saturday,Noon,8,ACC,No,7,46300,961,15218,Oct,Yes,0,0,,,,No
2013,,,"Saturday, October 26, 2013",at Virginia,"Charlottesville, Va.","W, 35-25",,,,,,7,,,,,,,,,,,No
2013,Home,2013F05,"Saturday, November 2, 2013",Pittsburgh,"Atlanta, Ga.","W, 21-10",Saturday,Night,6,ACC,No,7,67600,684,19123,Nov,No,0,0,,,,No
2013,,,"Thursday, November 14, 2013",at Clemson,"Clemson, S.C.","L, 55-31",,,,,,7,,,,,,,,,,,No
2013,Home,2013F06,"Saturday, November 23, 2013",Alabama A&M,"Atlanta, Ga.","W, 66-7",Saturday,Noon,7,FCS,No,7,2105,175,4851,Nov,Yes,0,0,,,,No
2013,Home,2013F07,"Saturday, November 30, 2013",Georgia,"Atlanta, Ga.","L, 41-34 (2OT)",Saturday,Afternoon,12,Power5,Yes,7,868000,69,27951,Nov,No,1,1,Thanksgiving,Yes,ABC,Yes
2013,,,"Monday, December 30, 2013",Ole Miss,"Nashville, Tenn.","L, 25-17",,,,,,7,,,,,,,,,,,No
2012,,,"Monday, September 3, 2012",at Virginia Tech,"Blacksburg, Va.","L, 20-17 (OT)",,,,,,8,,,,,,,,,,,No
2012,Home,2012F01,"Saturday, September 8, 2012",Presbyterian,"Atlanta, Ga.","W, 59-3",Saturday,Night,4,FCS,No,8,3759,182,1063,Sept,No,0,0,,,,No
2012,Home,2012F02,"Saturday, September 15, 2012",Virginia,"Atlanta, Ga.","W, 56-20",Saturday,Afternoon,8,ACC,No,8,49500,505,16331,Sept,Yes,0,0,,,,No
2012,Home,2012F03,"Saturday, September 22, 2012",Miami,"Atlanta, Ga.","L, 42-36 (OT)",Saturday,Afternoon,6,ACC,No,8,216000,671,10849,Sept,No,5,1,,,,No
2012,Home,2012F04,"Saturday, September 29, 2012",Middle Tennessee State,"Atlanta, Ga.","L, 49-28",Saturday,Noon,2,Non-Power5,No,8,15600,215,19693,Sept,Yes,0,0,,,,No
2012,,,"Saturday, October 6, 2012",at Clemson,"Clemson, S.C.","L, 47-31",,,,,,8,,,,,,,,,,,No
2012,Home,2012F05,"Saturday, October 20, 2012",Boston College,"Atlanta, Ga.","W, 37-17",Saturday,Afternoon,4,ACC,No,8,23900,1093,9309,Oct,No,0,0,,,,No
2012,Home,2012F06,"Saturday, October 27, 2012",BYU,"Atlanta, Ga.","L, 41-17",Saturday,Afternoon,10,Power5,No,8,56700,1878,30979,Oct,No,0,0,,,,No
2012,,,"Saturday, November 3, 2012",at Maryland,"College Park, Md.","W, 33-13",,,,,,8,,,,,,,,,,,No
2012,,,"Saturday, November 10, 2012",at North Carolina,"Chapel Hill, N.C.","W, 68-50",,,,,,8,,,,,,,,,,,No
2012,Home,2012F07,"Saturday, November 17, 2012",Duke,"Atlanta, Ga.","W, 42-24",Saturday,Afternoon,3,ACC,No,8,37500,379,6609,Nov,Yes,0,0,,,,No
2012,,,"Saturday, November 24, 2012",at Georgia,"Athens, Ga.","L, 42-10",,,,,,8,,,,,,,,,,,Yes
2012,,,"Saturday, December 1, 2012",Florida State,"Charlotte, N.C.","L, 21-15",,,,,,8,,,,,,,,,,,No
2012,,,"Monday, December 31, 2012",USC,"El Paso, Texas","W, 21-7",,,,,,8,,,,,,,,,,,No
2011,Home,2011F01,"Thursday, September 1, 2011",Western Carolina,"Atlanta, Ga.","W, 63-21",Thursday,Night,2,Non-Power5,No,6,7393,151,9171,Sept,No,0,0,LaborDay,,,No
2011,,,"Saturday, September 10, 2011",at Middle Tennessee State,"Murfreesboro, Tenn.","W, 49-21",,,,,,6,,,,,,,,,,,No
2011,Home,2011F02,"Saturday, September 17, 2011",Kansas,"Atlanta, Ga.","W, 66-24",Saturday,Noon,3,Power5,No,6,47600,836,19262,Sept,Yes,0,0,,,,No
2011,Home,2011F03,"Saturday, September 24, 2011",North Carolina,"Atlanta, Ga.","W, 35-28",Saturday,Noon,8,ACC,No,6,149000,378,18523,Sept,No,0,0,,,,No
2011,,,"Saturday, October 1, 2011",at North Carolina State,"Raleigh, N.C.","W, 45-35",,,,,,6,,,,,,,,,,,No
2011,Home,2011F04,"Saturday, October 8, 2011",Maryland,"Atlanta, Ga.","W, 21-16",Saturday,Noon,9,ACC,No,6,56700,658,28472,Oct,Yes,0,0,,,,No
2011,,,"Saturday, October 15, 2011",at Virginia,"Charlottesville, Va.","L, 24-21",,,,,,6,,,,,,,,,,,No
2011,,,"Saturday, October 22, 2011",at Miami,"Miami, Fla.","L, 24-7",,,,,,6,,,,,,,,,,,No
2011,Home,2011F05,"Saturday, October 29, 2011",Clemson,"Atlanta, Ga.","W, 31-17",Saturday,Night,6,ACC,Yes,6,910000,120,18599,Oct,No,2,1,,,,No
2011,Home,2011F06,"Thursday, November 10, 2011",Virginia Tech,"Atlanta, Ga.","L, 37-26",Thursday,Night,11,ACC,No,6,64500,405,25791,Nov,Yes,0,0,,,,No
2011,,,"Saturday, November 19, 2011",at Duke,"Durham, N.C.","W, 38-31",,,,,,6,,,,,,,,,,,No
