	Opponent	Section	Day	Time	prediction	lower_bound	upper_bound
72	Alcorn State	122	Saturday	Afternoon	20.1042581458792	10.6790336551979	37.8481057974212
73	Alcorn State	210	Saturday	Afternoon	9.85712454142742	5.25042080645687	18.5057365508155
74	Alcorn State	216	Saturday	Afternoon	10.0084119764285	5.32037171559862	18.8273142638207
75	Alcorn State	215	Saturday	Afternoon	11.8879817332455	6.32372949591071	22.3482218493639
76	Alcorn State	121	Saturday	Afternoon	17.7795689180396	9.45842584567951	33.4213193684565
77	Alcorn State	213	Saturday	Afternoon	10.1536889904859	5.40507591943277	19.0741816863017
78	Alcorn State	212	Saturday	Afternoon	10.4386590069922	5.55348437886703	19.6211233219477
79	Alcorn State	101	Saturday	Afternoon	13.7065461541977	7.297347434387	25.7448900667471
80	Alcorn State	103	Saturday	Afternoon	25.4103876466022	13.5156511985583	47.7733400237106
81	Alcorn State	226L	Saturday	Afternoon	20.9374190350919	11.0876136684356	39.5374089466163
82	Alcorn State	CL3	Saturday	Afternoon	67.125509658181	35.5742935662016	126.659832007218
83	Alcorn State	132	Saturday	Afternoon	19.2839312055744	10.2541887738239	36.2651801077241
84	Alcorn State	124	Saturday	Afternoon	36.6643740010224	19.3798602497803	69.3646034368123
85	Alcorn State	202	Saturday	Afternoon	14.2745708909815	7.57027599159722	26.9162411446859
86	Alcorn State	105	Saturday	Afternoon	43.6310968473818	23.2108837621917	82.0163778169667
87	Alcorn State	219	Saturday	Afternoon	7.49072120871863	3.97785224644545	14.1058291636867
88	Alcorn State	227	Saturday	Afternoon	19.6711357514338	10.3950592266667	37.2247596972487
89	Alcorn State	221	Saturday	Afternoon	13.4791713182238	7.14914093295011	25.4139708714699
90	Alcorn State	102	Saturday	Afternoon	23.6691338597329	12.5955279500677	44.4783180102383
91	Alcorn State	222	Saturday	Afternoon	15.0515714031484	7.99623220109328	28.3320689052903
92	Alcorn State	104	Saturday	Afternoon	38.2694976080578	20.3365717707857	72.0157981237051
93	Alcorn State	CL1	Saturday	Afternoon	57.4684869245972	30.4287848994471	108.536275776908
94	Alcorn State	214	Saturday	Afternoon	11.5033751847262	6.11990481976348	21.6224997835325
95	Alcorn State	107	Saturday	Afternoon	49.5514433403741	26.3577041896774	93.1547573128887
96	Alcorn State	223	Saturday	Afternoon	23.8550959928491	12.5919627457471	45.1927643305844
97	Alcorn State	201	Saturday	Afternoon	12.778887783746	6.74623823563731	24.2060786005057
98	Alcorn State	CL4	Saturday	Afternoon	48.1712667015521	25.5134435070541	90.9509112319744
99	Alcorn State	207	Saturday	Afternoon	17.818400273008	9.44292132098207	33.6225811374347
100	Alcorn State	206U	Saturday	Afternoon	16.221555426549	8.39755910155139	31.3351602858012
101	Alcorn State	225	Saturday	Afternoon	24.4600701807985	12.9035074654371	46.3668529546838
102	Alcorn State	106	Saturday	Afternoon	53.3530453352695	28.2464894531396	100.775264525162
103	Alcorn State	224L	Saturday	Afternoon	24.6312814760657	13.089581412297	46.3498417591272
104	Alcorn State	218	Saturday	Afternoon	16.3276940275448	8.64665648578778	30.8319860625101
105	Alcorn State	204U	Saturday	Afternoon	14.3718468442268	7.62196251293588	27.0993174478826
106	Alcorn State	208	Saturday	Afternoon	11.9685135510552	6.29482613918808	22.7560401914878
107	Alcorn State	224U	Saturday	Afternoon	11.9543381126077	6.3377531271179	22.5484011201193
108	Alcorn State	206L	Saturday	Afternoon	21.3847653218992	11.1595617815698	40.9790453087465
109	Alcorn State	130	Saturday	Afternoon	29.3798562337508	13.6350405874715	63.3057119836513
110	Alcorn State	229	Saturday	Afternoon	27.6467056031981	14.4884738258391	52.7550617061381
111	Alcorn State	203L	Saturday	Afternoon	19.0363857256276	9.95888729170117	36.3879990686162
112	Alcorn State	203U	Saturday	Afternoon	15.4841530520557	7.98556830302294	30.0240366923825
113	Alcorn State	204L	Saturday	Afternoon	26.7540497757253	13.6682671602132	52.3679535241702
114	Alcorn State	226U	Saturday	Afternoon	13.3468623759857	7.05263688238831	25.2584583970778
115	Alcorn State	110	Saturday	Afternoon	17.6978135172791	9.15583248608013	34.2090797061408
116	Alcorn State	131	Saturday	Afternoon	14.2883294051853	7.58122343869804	26.9292098883375
117	Alcorn State	205U	Saturday	Afternoon	14.6143631564607	7.7248323799396	27.648445942148
118	Alcorn State	205L	Saturday	Afternoon	23.2611449164455	11.9950900956101	45.1085284488107
119	Alcorn State	TT3	Saturday	Afternoon	45.9891935609692	21.3379382703945	99.1195071232711
120	Alcorn State	TT1	Saturday	Afternoon	137.225219350137	56.5423981819667	333.037887163742
121	Alcorn State	128	Saturday	Night	26.8218920232515	14.2908676000513	50.3408128771958
122	Alcorn State	123	Saturday	Night	25.6142872682889	13.6303976496857	48.134451328906
123	Alcorn State	111	Saturday	Night	18.7268669335811	9.97840270724264	35.1454591919313
124	Alcorn State	228	Saturday	Night	12.6239490790485	6.72424274224846	23.6999311980699
125	Alcorn State	109	Saturday	Night	32.0500099274421	17.0299623240214	60.3174051007869
126	Alcorn State	217	Saturday	Night	11.2970266199549	6.01512654038948	21.2169784949703
127	Alcorn State	CL2	Saturday	Night	72.9117683016842	38.7463640672289	137.203221124296
128	Alcorn State	108	Saturday	Night	41.9165871798439	22.303480252577	78.7769559238379
129	Alcorn State	129	Saturday	Night	22.100678207156	11.7756732425266	41.4787305283159
130	Alcorn State	211	Saturday	Night	10.5540552266064	5.60647296505218	19.8677639971857
131	Alcorn State	127	Saturday	Night	38.2772895233765	20.3765042375466	71.9039377989402
132	Alcorn State	122	Saturday	Night	21.2202816901805	11.2730915674123	39.9447083630826
133	Alcorn State	210	Saturday	Night	10.4043112611522	5.54249617732979	19.5308556570064
134	Alcorn State	216	Saturday	Night	10.5639969338894	5.61633641205586	19.8702540288848
135	Alcorn State	215	Saturday	Night	12.5479049899137	6.67551033273481	23.5861996743246
136	Alcorn State	121	Saturday	Night	18.7665447803708	9.98458588935761	35.2726900140194
137	Alcorn State	213	Saturday	Night	10.7173385364015	5.70575397602987	20.1307917912997
138	Alcorn State	212	Saturday	Night	11.0181277512853	5.86241761481245	20.7080332927676
139	Alcorn State	101	Saturday	Night	14.4674211941092	7.70329052815384	27.1710219474122
140	Alcorn State	103	Saturday	Night	26.8209639870798	14.2675090465656	50.4197408845795
141	Alcorn State	226L	Saturday	Night	22.0996928395026	11.7043940203604	41.7276129589253
142	Alcorn State	CL3	Saturday	Night	70.8517674816814	37.5532208075531	133.676229290793
143	Alcorn State	132	Saturday	Night	20.354416925363	10.8246152450181	38.2740891009665
144	Alcorn State	124	Saturday	Night	38.6996793739091	20.457914061325	73.2071304608055
145	Alcorn State	202	Saturday	Night	15.066978006108	7.99139635611664	28.407279043641
146	Alcorn State	105	Saturday	Night	46.0531375410519	24.5020753005691	86.5596669407744
147	Alcorn State	219	Saturday	Night	7.90654462145373	4.1991337344033	14.8872247956452
148	Alcorn State	227	Saturday	Night	20.7631158922801	10.9733102518839	39.2868671039571
149	Alcorn State	221	Saturday	Night	14.2274243718632	7.54683446483369	26.8217893476145
150	Alcorn State	102	Saturday	Night	24.983050069374	13.2962016751904	46.9421874017951
151	Alcorn State	222	Saturday	Night	15.8871112148022	8.44105027392464	29.9015281938535
152	Alcorn State	104	Saturday	Night	40.3939062805524	21.4678649632751	76.0051205554596
153	Alcorn State	CL1	Saturday	Night	60.6586660397797	32.1214726766643	114.54872579359
154	Alcorn State	214	Saturday	Night	12.1419482398438	6.46034729686182	22.8202757970395
155	Alcorn State	107	Saturday	Night	52.3021331206535	27.8239487935221	98.3150576242951
156	Alcorn State	223	Saturday	Night	25.1793352951108	13.2924194454704	47.6962774538127
157	Alcorn State	201	Saturday	Night	13.4882668383304	7.12151331059999	25.5470058633755
158	Alcorn State	CL4	Saturday	Night	50.8453403931879	26.9327027811683	95.9892017041371
159	Alcorn State	207	Saturday	Night	18.8075317337248	9.96821222081927	35.4851243211187
160	Alcorn State	206U	Saturday	Night	17.122043156554	8.86466384346295	33.0711200144476
161	Alcorn State	225	Saturday	Night	25.8178926887943	13.6212931450891	48.935411329167
162	Alcorn State	106	Saturday	Night	56.3147688827032	29.8177802455683	106.35778948648
163	Alcorn State	224L	Saturday	Night	25.9986082311311	13.8177354035166	48.9173956670073
164	Alcorn State	218	Saturday	Night	17.2340737022717	9.12765161502909	32.5399466261712
165	Alcorn State	204U	Saturday	Night	15.1696539225515	8.04595812040194	28.6004968813441
